Description,Sentiment
,
What is momos without chutney?,0
,
good,1
,
pls stop do this and warning for this out let.,0
,
the delivery was delayed . the momos are not prepared properly the  entire outer skin is off,0
,
Delivery was good,1
,
"I have got wrong item, delived non veg. I want refund",0
,
I have order 3 pepsi but only got 2...very bad,0
,
not cooked properly. raw smell of chicken,0
,
no doubt . absolutely fine,1
,
no tissues or spoons neither chutney . horrible experience,0
,
the order was cold.,0
,
Packaging was poor.,0
,
there was no sauce in burger. momo dip is missing. momo was dripping oily. zomato customer service gives no ear to complaint.,0
,
"Innovative food like momos burger is yummy also, the quality is amazing.. Staff is also professional and friendly.",1
,
The order was never delivered and the Delivery executive marked it as delivered.,0
,
The soup has spilled.,0
,
All delivered items are cold and Pepsi can is normal - pathetic service -,0
,
The momos tasted sour,0
,
Customer service,
,
No sauces in the entire package. Who has momos without sauces?,0
,
One moburg and one pepsi is missing,0
,
I didn't receive that two dip,0
,
I haven?t received the cheese dips in any of the items.,0
,
Spilled all over,0
,
There is no type of sauce in package and it is ruined,0
,
Its veg instead of chicken,0
,
"Today momo r very bad, not steamed well. Taste bad, throwing to dustbin",0
,
Only one item is different,0
,
This is normal chicken pan fried momo with no cheese,0
,
"Ordered momos, recieved burger",0
,
Inside masala have burnt smell,0
,
Some other thing,0
,
"Issue created by pratim.paul1_kt@external.swiggy.in on Oct 24, 2021, 11:48 PM",
,
I didn?t order spicy item,0
,
Poor quality. Stale food.,0
,
Received non veg momoms,0
,
It?s cold completely,0
,
"Issue created by fayiz.ali_cs_ssg@external.swiggy.in on Oct 21, 2021, 08:54 PM",
,
"Issue created by pawan.kumar_31p@external.swiggy.in on Oct 19, 2021, 09:24 PM",
,
I have ordered 7 momos but i have received 5 momos,0
,
"Didn't get wheat momos seem like normal steamed momos, please confirm whether these are wheat or not since they don't match the product image ",0
,
Pepsi was missing,0
,
I don't receive chocolate momo,0
,
"Issue created by shiva.m04_cb@external.swiggy.in on Oct 21, 2021, 06:51 PM",
,
One bottle is open.but wow  momo pack well.delivering person is so caring.its shop problem.,1
,
Recieved order after 2 hours n cold,0
,
This is tomato sauce I needed it to be spicy it is sweet ?,0
,
"The momos were sour and dint taste one bit good, even the burger I could not eat more than a bite. ",0
,
They haven't provide any cutlery,0
,
"Received 4 plates of steamed momos instead of 2 plates steamed and 2 plates fried momos. Also the quality of food was not good, it seemed undercooked and cold.",0
,
Package i,0
,
1Chocolate momo missing...,0
,
Just received one pepsi and no sauce,0
,
Wrong sent ..steam momo both not fried,0
,
"Issue created by bhargav.desai_tm@external.swiggy.in on Oct 18, 2021, 10:37 PM",
,
I ordered s hex wan momos,0
,
Very unprofessional behaviour by the restaurant take so much time in time,0
,
One of the items is missing,0
,
The item was cold and it was tasting like it was cooked very early and they gave us that it was not tasting fresh,0
,
